order_id,order_date,ship_date,ship_mode,customer_id,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,returned,state_name,city_name,category_name,sub_category_name,ship_mode_name,segment_name,customer_id_code
CA-2016-152156,2016-11-08,2016-11-11,2,CG-12520,0,United States,194,15,42420,South,FUR-BO-10001798,0,4,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,0,Kentucky,Henderson,Furniture,Bookcases,Second Class,Consumer,143
CA-2016-152156,2016-11-08,2016-11-11,2,CG-12520,0,United States,194,15,42420,South,FUR-CH-10000454,0,5,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.9399999999999,3,0.0,219.582,0,Kentucky,Henderson,Furniture,Chairs,Second Class,Consumer,143
CA-2016-138688,2016-06-12,2016-06-16,2,DV-13045,1,United States,266,3,90036,West,OFF-LA-10000240,1,10,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,0,California,Los Angeles,Office Supplies,Labels,Second Class,Corporate,237
US-2015-108966,2015-10-11,2015-10-18,3,SO-20335,0,United States,153,8,33311,South,FUR-TA-10000577,0,16,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.03100000000006,0,Florida,Fort Lauderdale,Furniture,Tables,Standard Class,Consumer,705
US-2015-108966,2015-10-11,2015-10-18,3,SO-20335,0,United States,153,8,33311,South,OFF-ST-10000760,1,14,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.516399999999999,0,Florida,Fort Lauderdale,Office Supplies,Storage,Standard Class,Consumer,705
CA-2014-115812,2014-06-09,2014-06-14,3,BH-11710,0,United States,266,3,90032,West,FUR-FU-10001487,0,9,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.169399999999996,0,California,Los Angeles,Furniture,Furnishings,Standard Class,Consumer,88
CA-2014-115812,2014-06-09,2014-06-14,3,BH-11710,0,United States,266,3,90032,West,OFF-AR-10002833,1,2,Newell 322,7.28,4,0.0,1.9656,0,California,Los Angeles,Office Supplies,Art,Standard Class,Consumer,88
CA-2014-115812,2014-06-09,2014-06-14,3,BH-11710,0,United States,266,3,90032,West,TEC-PH-10002275,2,13,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.71520000000004,0,California,Los Angeles,Technology,Phones,Standard Class,Consumer,88
CA-2014-115812,2014-06-09,2014-06-14,3,BH-11710,0,United States,266,3,90032,West,OFF-BI-10003910,1,3,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,0,California,Los Angeles,Office Supplies,Binders,Standard Class,Consumer,88
CA-2014-115812,2014-06-09,2014-06-14,3,BH-11710,0,United States,266,3,90032,West,OFF-AP-10002892,1,1,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.46999999999999,0,California,Los Angeles,Office Supplies,Appliances,Standard Class,Consumer,88
CA-2014-115812,2014-06-09,2014-06-14,3,BH-11710,0,United States,266,3,90032,West,FUR-TA-10001539,0,16,Chromcraft Rectangular Conference Tables,1706.1840000000002,9,0.2,85.3091999999998,0,California,Los Angeles,Furniture,Tables,Standard Class,Consumer,88
CA-2014-115812,2014-06-09,2014-06-14,3,BH-11710,0,United States,266,3,90032,West,TEC-PH-10002033,2,13,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.35680000000002,0,California,Los Angeles,Technology,Phones,Standard Class,Consumer,88
